"
område
","
txt_område
","
ålder
","
antal
","
text_ålder
"

"
SDO01
","
Rinkeby-Kista
","
2
","
 224
","
20-24 år
"
"
SDO01
","
Rinkeby-Kista
","
3
","
1816
","
25-54 år
"
"
SDO01
","
Rinkeby-Kista
","
4
","
 186
","
55-64 år
"
"
SDO03
","
Spånga-Tensta
","
2
","
 161
","
20-24 år
"
"
SDO03
","
Spånga-Tensta
","
3
","
1086
","
25-54 år
"
"
SDO03
","
Spånga-Tensta
","
4
","
 111
","
55-64 år
"
"
SDO04
","
Hässelby-Vällingby
","
2
","
 206
","
20-24 år
"
"
SDO04
","
Hässelby-Vällingby
","
3
","
1450
","
25-54 år
"
"
SDO04
","
Hässelby-Vällingby
","
4
","
 153
","
55-64 år
"
"
SDO06
","
Bromma
","
2
","
  74
","
20-24 år
"
"
SDO06
","
Bromma
","
3
","
 696
","
25-54 år
"
"
SDO06
","
Bromma
","
4
","
 132
","
55-64 år
"
"
SDO08
","
Kungsholmen
","
2
","
  54
","
20-24 år
"
"
SDO08
","
Kungsholmen
","
3
","
 637
","
25-54 år
"
"
SDO08
","
Kungsholmen
","
4
","
 130
","
55-64 år
"
"
SDO09
","
Norrmalm
","
2
","
  68
","
20-24 år
"
"
SDO09
","
Norrmalm
","
3
","
 629
","
25-54 år
"
"
SDO09
","
Norrmalm
","
4
","
 148
","
55-64 år
"
"
SDO10
","
Östermalm
","
2
","
  37
","
20-24 år
"
"
SDO10
","
Östermalm
","
3
","
 524
","
25-54 år
"
"
SDO10
","
Östermalm
","
4
","
 135
","
55-64 år
"
"
SDO12
","
Södermalm
","
2
","
  99
","
20-24 år
"
"
SDO12
","
Södermalm
","
3
","
1469
","
25-54 år
"
"
SDO12
","
Södermalm
","
4
","
 343
","
55-64 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
2
","
 225
","
20-24 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
3
","
1817
","
25-54 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
4
","
 277
","
55-64 år
"
"
SDO15
","
Skarpnäck
","
2
","
 116
","
20-24 år
"
"
SDO15
","
Skarpnäck
","
3
","
 797
","
25-54 år
"
"
SDO15
","
Skarpnäck
","
4
","
 108
","
55-64 år
"
"
SDO18
","
Farsta
","
2
","
 117
","
20-24 år
"
"
SDO18
","
Farsta
","
3
","
 999
","
25-54 år
"
"
SDO18
","
Farsta
","
4
","
 199
","
55-64 år
"
"
SDO21
","
Älvsjö
","
2
","
  30
","
20-24 år
"
"
SDO21
","
Älvsjö
","
3
","
 271
","
25-54 år
"
"
SDO21
","
Älvsjö
","
4
","
  67
","
55-64 år
"
"
SDO22
","
Hägersten-Liljeholmen
","
2
","
  96
","
20-24 år
"
"
SDO22
","
Hägersten-Liljeholmen
","
3
","
1083
","
25-54 år
"
"
SDO22
","
Hägersten-Liljeholmen
","
4
","
 202
","
55-64 år
"
"
SDO24
","
Skärholmen
","
2
","
 128
","
20-24 år
"
"
SDO24
","
Skärholmen
","
3
","
1157
","
25-54 år
"
"
SDO24
","
Skärholmen
","
4
","
 132
","
55-64 år
"
