"
område
","
txt_område
","
ålder
","
antal
","
text_ålder
"

"
SDO01
","
Rinkeby-Kista
","
10
","
 1978
","
60-64 år
"
"
SDO01
","
Rinkeby-Kista
","
2
","
 1297
","
20-24 år
"
"
SDO01
","
Rinkeby-Kista
","
3
","
 3156
","
25-29 år
"
"
SDO01
","
Rinkeby-Kista
","
4
","
 4504
","
30-34 år
"
"
SDO01
","
Rinkeby-Kista
","
5
","
 6144
","
35-39 år
"
"
SDO01
","
Rinkeby-Kista
","
6
","
 5886
","
40-44 år
"
"
SDO01
","
Rinkeby-Kista
","
7
","
 4879
","
45-49 år
"
"
SDO01
","
Rinkeby-Kista
","
8
","
 3703
","
50-54 år
"
"
SDO01
","
Rinkeby-Kista
","
9
","
 3043
","
55-59 år
"
"
SDO03
","
Spånga-Tensta
","
10
","
  964
","
60-64 år
"
"
SDO03
","
Spånga-Tensta
","
2
","
  686
","
20-24 år
"
"
SDO03
","
Spånga-Tensta
","
3
","
  931
","
25-29 år
"
"
SDO03
","
Spånga-Tensta
","
4
","
 1129
","
30-34 år
"
"
SDO03
","
Spånga-Tensta
","
5
","
 1390
","
35-39 år
"
"
SDO03
","
Spånga-Tensta
","
6
","
 1420
","
40-44 år
"
"
SDO03
","
Spånga-Tensta
","
7
","
 1380
","
45-49 år
"
"
SDO03
","
Spånga-Tensta
","
8
","
 1248
","
50-54 år
"
"
SDO03
","
Spånga-Tensta
","
9
","
 1111
","
55-59 år
"
"
SDO04
","
Hässelby-Vällingby
","
10
","
 1244
","
60-64 år
"
"
SDO04
","
Hässelby-Vällingby
","
2
","
 1032
","
20-24 år
"
"
SDO04
","
Hässelby-Vällingby
","
3
","
 1171
","
25-29 år
"
"
SDO04
","
Hässelby-Vällingby
","
4
","
 1380
","
30-34 år
"
"
SDO04
","
Hässelby-Vällingby
","
5
","
 1728
","
35-39 år
"
"
SDO04
","
Hässelby-Vällingby
","
6
","
 1791
","
40-44 år
"
"
SDO04
","
Hässelby-Vällingby
","
7
","
 1663
","
45-49 år
"
"
SDO04
","
Hässelby-Vällingby
","
8
","
 1646
","
50-54 år
"
"
SDO04
","
Hässelby-Vällingby
","
9
","
 1417
","
55-59 år
"
"
SDO06
","
Bromma
","
10
","
 2012
","
60-64 år
"
"
SDO06
","
Bromma
","
2
","
 2348
","
20-24 år
"
"
SDO06
","
Bromma
","
3
","
 2920
","
25-29 år
"
"
SDO06
","
Bromma
","
4
","
 3415
","
30-34 år
"
"
SDO06
","
Bromma
","
5
","
 3713
","
35-39 år
"
"
SDO06
","
Bromma
","
6
","
 3598
","
40-44 år
"
"
SDO06
","
Bromma
","
7
","
 3331
","
45-49 år
"
"
SDO06
","
Bromma
","
8
","
 2901
","
50-54 år
"
"
SDO06
","
Bromma
","
9
","
 2423
","
55-59 år
"
"
SDO08
","
Kungsholmen
","
10
","
 4693
","
60-64 år
"
"
SDO08
","
Kungsholmen
","
2
","
 3976
","
20-24 år
"
"
SDO08
","
Kungsholmen
","
3
","
 6441
","
25-29 år
"
"
SDO08
","
Kungsholmen
","
4
","
 7817
","
30-34 år
"
"
SDO08
","
Kungsholmen
","
5
","
 8389
","
35-39 år
"
"
SDO08
","
Kungsholmen
","
6
","
 7720
","
40-44 år
"
"
SDO08
","
Kungsholmen
","
7
","
 6885
","
45-49 år
"
"
SDO08
","
Kungsholmen
","
8
","
 6003
","
50-54 år
"
"
SDO08
","
Kungsholmen
","
9
","
 5586
","
55-59 år
"
"
SDO09
","
Norrmalm
","
10
","
 7884
","
60-64 år
"
"
SDO09
","
Norrmalm
","
2
","
 9939
","
20-24 år
"
"
SDO09
","
Norrmalm
","
3
","
17841
","
25-29 år
"
"
SDO09
","
Norrmalm
","
4
","
21282
","
30-34 år
"
"
SDO09
","
Norrmalm
","
5
","
21989
","
35-39 år
"
"
SDO09
","
Norrmalm
","
6
","
17867
","
40-44 år
"
"
SDO09
","
Norrmalm
","
7
","
14863
","
45-49 år
"
"
SDO09
","
Norrmalm
","
8
","
11376
","
50-54 år
"
"
SDO09
","
Norrmalm
","
9
","
 9681
","
55-59 år
"
"
SDO10
","
Östermalm
","
10
","
 5780
","
60-64 år
"
"
SDO10
","
Östermalm
","
2
","
 5891
","
20-24 år
"
"
SDO10
","
Östermalm
","
3
","
 9482
","
25-29 år
"
"
SDO10
","
Östermalm
","
4
","
10548
","
30-34 år
"
"
SDO10
","
Östermalm
","
5
","
10675
","
35-39 år
"
"
SDO10
","
Östermalm
","
6
","
 9344
","
40-44 år
"
"
SDO10
","
Östermalm
","
7
","
 7840
","
45-49 år
"
"
SDO10
","
Östermalm
","
8
","
 6643
","
50-54 år
"
"
SDO10
","
Östermalm
","
9
","
 6132
","
55-59 år
"
"
SDO12
","
Södermalm
","
10
","
 5932
","
60-64 år
"
"
SDO12
","
Södermalm
","
2
","
 5866
","
20-24 år
"
"
SDO12
","
Södermalm
","
3
","
 8870
","
25-29 år
"
"
SDO12
","
Södermalm
","
4
","
10672
","
30-34 år
"
"
SDO12
","
Södermalm
","
5
","
11079
","
35-39 år
"
"
SDO12
","
Södermalm
","
6
","
 9810
","
40-44 år
"
"
SDO12
","
Södermalm
","
7
","
 8765
","
45-49 år
"
"
SDO12
","
Södermalm
","
8
","
 7565
","
50-54 år
"
"
SDO12
","
Södermalm
","
9
","
 6626
","
55-59 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
10
","
 2625
","
60-64 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
2
","
 2735
","
20-24 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
3
","
 3317
","
25-29 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
4
","
 3829
","
30-34 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
5
","
 4249
","
35-39 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
6
","
 4411
","
40-44 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
7
","
 4326
","
45-49 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
8
","
 3883
","
50-54 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
9
","
 3439
","
55-59 år
"
"
SDO15
","
Skarpnäck
","
10
","
  659
","
60-64 år
"
"
SDO15
","
Skarpnäck
","
2
","
  606
","
20-24 år
"
"
SDO15
","
Skarpnäck
","
3
","
  809
","
25-29 år
"
"
SDO15
","
Skarpnäck
","
4
","
  925
","
30-34 år
"
"
SDO15
","
Skarpnäck
","
5
","
 1155
","
35-39 år
"
