"
område
","
txt_område
","
kön
","
typ av förändr.
","
antal
","
text_typ av förändr.
","
text_kön
"

"
SDO01
","
Rinkeby-Kista
","
1
","
1
","
  400
","
födda
","
män
"
"
SDO01
","
Rinkeby-Kista
","
1
","
2
","
 -119
","
döda
","
män
"
"
SDO01
","
Rinkeby-Kista
","
1
","
3
","
 3556
","
inflyttningar
","
män
"
"
SDO01
","
Rinkeby-Kista
","
1
","
4
","
-3387
","
utflyttningar
","
män
"
"
SDO01
","
Rinkeby-Kista
","
2
","
1
","
  375
","
födda
","
kvinnor
"
"
SDO01
","
Rinkeby-Kista
","
2
","
2
","
 -125
","
döda
","
kvinnor
"
"
SDO01
","
Rinkeby-Kista
","
2
","
3
","
 2680
","
inflyttningar
","
kvinnor
"
"
SDO01
","
Rinkeby-Kista
","
2
","
4
","
-2576
","
utflyttningar
","
kvinnor
"
"
SDO03
","
Spånga-Tensta
","
1
","
1
","
  308
","
födda
","
män
"
"
SDO03
","
Spånga-Tensta
","
1
","
2
","
  -94
","
döda
","
män
"
"
SDO03
","
Spånga-Tensta
","
1
","
3
","
 2393
","
inflyttningar
","
män
"
"
SDO03
","
Spånga-Tensta
","
1
","
4
","
-2261
","
utflyttningar
","
män
"
"
SDO03
","
Spånga-Tensta
","
2
","
1
","
  274
","
födda
","
kvinnor
"
"
SDO03
","
Spånga-Tensta
","
2
","
2
","
  -99
","
döda
","
kvinnor
"
"
SDO03
","
Spånga-Tensta
","
2
","
3
","
 2092
","
inflyttningar
","
kvinnor
"
"
SDO03
","
Spånga-Tensta
","
2
","
4
","
-2122
","
utflyttningar
","
kvinnor
"
"
SDO04
","
Hässelby-Vällingby
","
1
","
1
","
  453
","
födda
","
män
"
"
SDO04
","
Hässelby-Vällingby
","
1
","
2
","
 -274
","
döda
","
män
"
"
SDO04
","
Hässelby-Vällingby
","
1
","
3
","
 3690
","
inflyttningar
","
män
"
"
SDO04
","
Hässelby-Vällingby
","
1
","
4
","
-3156
","
utflyttningar
","
män
"
"
SDO04
","
Hässelby-Vällingby
","
2
","
1
","
  427
","
födda
","
kvinnor
"
"
SDO04
","
Hässelby-Vällingby
","
2
","
2
","
 -289
","
döda
","
kvinnor
"
"
SDO04
","
Hässelby-Vällingby
","
2
","
3
","
 3450
","
inflyttningar
","
kvinnor
"
"
SDO04
","
Hässelby-Vällingby
","
2
","
4
","
-2987
","
utflyttningar
","
kvinnor
"
"
SDO06
","
Bromma
","
1
","
1
","
  468
","
födda
","
män
"
"
SDO06
","
Bromma
","
1
","
2
","
 -222
","
döda
","
män
"
"
SDO06
","
Bromma
","
1
","
3
","
 3843
","
inflyttningar
","
män
"
"
SDO06
","
Bromma
","
1
","
4
","
-3520
","
utflyttningar
","
män
"
"
SDO06
","
Bromma
","
2
","
1
","
  423
","
födda
","
kvinnor
"
"
SDO06
","
Bromma
","
2
","
2
","
 -283
","
döda
","
kvinnor
"
"
SDO06
","
Bromma
","
2
","
3
","
 3872
","
inflyttningar
","
kvinnor
"
"
SDO06
","
Bromma
","
2
","
4
","
-3471
","
utflyttningar
","
kvinnor
"
"
SDO08
","
Kungsholmen
","
1
","
1
","
  602
","
födda
","
män
"
"
SDO08
","
Kungsholmen
","
1
","
2
","
 -197
","
döda
","
män
"
"
SDO08
","
Kungsholmen
","
1
","
3
","
 4883
","
inflyttningar
","
män
"
"
SDO08
","
Kungsholmen
","
1
","
4
","
-4308
","
utflyttningar
","
män
"
"
SDO08
","
Kungsholmen
","
2
","
1
","
  586
","
födda
","
kvinnor
"
"
SDO08
","
Kungsholmen
","
2
","
2
","
 -304
","
döda
","
kvinnor
"
"
SDO08
","
Kungsholmen
","
2
","
3
","
 5268
","
inflyttningar
","
kvinnor
"
"
SDO08
","
Kungsholmen
","
2
","
4
","
-4345
","
utflyttningar
","
kvinnor
"
"
SDO09
","
Norrmalm
","
1
","
1
","
  672
","
födda
","
män
"
"
SDO09
","
Norrmalm
","
1
","
2
","
 -178
","
döda
","
män
"
"
SDO09
","
Norrmalm
","
1
","
3
","
 4879
","
inflyttningar
","
män
"
"
SDO09
","
Norrmalm
","
1
","
4
","
-4873
","
utflyttningar
","
män
"
"
SDO09
","
Norrmalm
","
2
","
1
","
  688
","
födda
","
kvinnor
"
"
SDO09
","
Norrmalm
","
2
","
2
","
 -233
","
döda
","
kvinnor
"
"
SDO09
","
Norrmalm
","
2
","
3
","
 5035
","
inflyttningar
","
kvinnor
"
"
SDO09
","
Norrmalm
","
2
","
4
","
-4915
","
utflyttningar
","
kvinnor
"
"
SDO10
","
Östermalm
","
1
","
1
","
  481
","
födda
","
män
"
"
SDO10
","
Östermalm
","
1
","
2
","
 -252
","
döda
","
män
"
"
SDO10
","
Östermalm
","
1
","
3
","
 4771
","
inflyttningar
","
män
"
"
SDO10
","
Östermalm
","
1
","
4
","
-4405
","
utflyttningar
","
män
"
"
SDO10
","
Östermalm
","
2
","
1
","
  454
","
födda
","
kvinnor
"
"
SDO10
","
Östermalm
","
2
","
2
","
 -372
","
döda
","
kvinnor
"
"
SDO10
","
Östermalm
","
2
","
3
","
 4716
","
inflyttningar
","
kvinnor
"
"
SDO10
","
Östermalm
","
2
","
4
","
-4339
","
utflyttningar
","
kvinnor
"
"
SDO12
","
Södermalm
","
1
","
1
","
 1029
","
födda
","
män
"
"
SDO12
","
Södermalm
","
1
","
2
","
 -508
","
döda
","
män
"
"
SDO12
","
Södermalm
","
1
","
3
","
 7526
","
inflyttningar
","
män
"
"
SDO12
","
Södermalm
","
1
","
4
","
-7266
","
utflyttningar
","
män
"
"
SDO12
","
Södermalm
","
2
","
1
","
  970
","
födda
","
kvinnor
"
"
SDO12
","
Södermalm
","
2
","
2
","
 -599
","
döda
","
kvinnor
"
"
SDO12
","
Södermalm
","
2
","
3
","
 7965
","
inflyttningar
","
kvinnor
"
"
SDO12
","
Södermalm
","
2
","
4
","
-7315
","
utflyttningar
","
kvinnor
"
"
SDO14
","
Enskede-Årsta-Vantör
","
1
","
1
","
  757
","
födda
","
män
"
"
SDO14
","
Enskede-Årsta-Vantör
","
1
","
2
","
 -372
","
döda
","
män
"
"
SDO14
","
Enskede-Årsta-Vantör
","
1
","
3
","
 5968
","
inflyttningar
","
män
"
"
SDO14
","
Enskede-Årsta-Vantör
","
1
","
4
","
-5554
","
utflyttningar
","
män
"
"
SDO14
","
Enskede-Årsta-Vantör
","
2
","
1
","
  779
","
födda
","
kvinnor
"
"
SDO14
","
Enskede-Årsta-Vantör
","
2
","
2
","
 -437
","
döda
","
kvinnor
"
"
SDO14
","
Enskede-Årsta-Vantör
","
2
","
3
","
 5948
","
inflyttningar
","
kvinnor
"
"
SDO14
","
Enskede-Årsta-Vantör
","
2
","
4
","
-5502
","
utflyttningar
","
kvinnor
"
"
SDO15
","
Skarpnäck
","
1
","
1
","
  383
","
födda
","
män
"
"
SDO15
","
Skarpnäck
","
1
","
2
","
 -154
","
döda
","
män
"
"
SDO15
","
Skarpnäck
","
1
","
3
","
 2864
","
inflyttningar
","
män
"
"
SDO15
","
Skarpnäck
","
1
","
4
","
-2675
","
utflyttningar
","
män
"
"
SDO15
","
Skarpnäck
","
2
","
1
","
  351
","
födda
","
kvinnor
"
