"
område
","
txt_område
","
hustyp
","
antal
","
text_hustyp
"

"
SDO01
","
Rinkeby-Kista
","
1
","
17943
","
övriga hus
"
"
SDO01
","
Rinkeby-Kista
","
2
","
 1391
","
småhus
"
"
SDO03
","
Spånga-Tensta
","
1
","
 9227
","
övriga hus
"
"
SDO03
","
Spånga-Tensta
","
2
","
 4401
","
småhus
"
"
SDO04
","
Hässelby-Vällingby
","
1
","
19690
","
övriga hus
"
"
SDO04
","
Hässelby-Vällingby
","
2
","
 9774
","
småhus
"
"
SDO06
","
Bromma
","
1
","
24742
","
övriga hus
"
"
SDO06
","
Bromma
","
2
","
 7823
","
småhus
"
"
SDO08
","
Kungsholmen
","
1
","
38951
","
övriga hus
"
"
SDO08
","
Kungsholmen
","
2
","
  320
","
småhus
"
"
SDO09
","
Norrmalm
","
1
","
39278
","
övriga hus
"
"
SDO09
","
Norrmalm
","
2
","
    8
","
småhus
"
"
SDO10
","
Östermalm
","
1
","
40275
","
övriga hus
"
"
SDO10
","
Östermalm
","
2
","
  136
","
småhus
"
"
SDO12
","
Södermalm
","
1
","
71237
","
övriga hus
"
"
SDO12
","
Södermalm
","
2
","
   78
","
småhus
"
"
SDO14
","
Enskede-Årsta-Vantör
","
1
","
41358
","
övriga hus
"
"
SDO14
","
Enskede-Årsta-Vantör
","
2
","
 4940
","
småhus
"
"
SDO15
","
Skarpnäck
","
1
","
20524
","
övriga hus
"
"
SDO15
","
Skarpnäck
","
2
","
 2024
","
småhus
"
"
SDO18
","
Farsta
","
1
","
21099
","
övriga hus
"
"
SDO18
","
Farsta
","
2
","
 4366
","
småhus
"
"
SDO21
","
Älvsjö
","
1
","
 6411
","
övriga hus
"
"
SDO21
","
Älvsjö
","
2
","
 4276
","
småhus
"
"
SDO22
","
Hägersten-Liljeholmen
","
1
","
36661
","
övriga hus
"
"
SDO22
","
Hägersten-Liljeholmen
","
2
","
 2788
","
småhus
"
"
SDO24
","
Skärholmen
","
1
","
11884
","
övriga hus
"
"
SDO24
","
Skärholmen
","
2
","
 2042
","
småhus
"
