"
område
","
txt_område
","
flyttyp
","
antal
","
text_flyttyp
"

"
SDO01
","
Rinkeby-Kista
","
1
","
3075
","
inomflyttning
"
"
SDO01
","
Rinkeby-Kista
","
2
","
1919
","
in fr övr Sthlm
"
"
SDO01
","
Rinkeby-Kista
","
3
","
1441
","
in fr övr länet
"
"
SDO01
","
Rinkeby-Kista
","
4
","
 917
","
in fr övr Sverige
"
"
SDO01
","
Rinkeby-Kista
","
5
","
1959
","
in fr utlandet
"
"
SDO01
","
Rinkeby-Kista
","
6
","
2530
","
ut till övr Sthlm
"
"
SDO01
","
Rinkeby-Kista
","
7
","
2110
","
ut till övr länet
"
"
SDO01
","
Rinkeby-Kista
","
8
","
 724
","
ut till övr Sverige
"
"
SDO01
","
Rinkeby-Kista
","
9
","
 599
","
ut till utlandet
"
"
SDO03
","
Spånga-Tensta
","
1
","
1689
","
inomflyttning
"
"
SDO03
","
Spånga-Tensta
","
2
","
1913
","
in fr övr Sthlm
"
"
SDO03
","
Spånga-Tensta
","
3
","
1057
","
in fr övr länet
"
"
SDO03
","
Spånga-Tensta
","
4
","
 577
","
in fr övr Sverige
"
"
SDO03
","
Spånga-Tensta
","
5
","
 938
","
in fr utlandet
"
"
SDO03
","
Spånga-Tensta
","
6
","
2111
","
ut till övr Sthlm
"
"
SDO03
","
Spånga-Tensta
","
7
","
1179
","
ut till övr länet
"
"
SDO03
","
Spånga-Tensta
","
8
","
 509
","
ut till övr Sverige
"
"
SDO03
","
Spånga-Tensta
","
9
","
 584
","
ut till utlandet
"
"
SDO04
","
Hässelby-Vällingby
","
1
","
3385
","
inomflyttning
"
"
SDO04
","
Hässelby-Vällingby
","
2
","
3175
","
in fr övr Sthlm
"
"
SDO04
","
Hässelby-Vällingby
","
3
","
1793
","
in fr övr länet
"
"
SDO04
","
Hässelby-Vällingby
","
4
","
1120
","
in fr övr Sverige
"
"
SDO04
","
Hässelby-Vällingby
","
5
","
1052
","
in fr utlandet
"
"
SDO04
","
Hässelby-Vällingby
","
6
","
2940
","
ut till övr Sthlm
"
"
SDO04
","
Hässelby-Vällingby
","
7
","
1953
","
ut till övr länet
"
"
SDO04
","
Hässelby-Vällingby
","
8
","
 888
","
ut till övr Sverige
"
"
SDO04
","
Hässelby-Vällingby
","
9
","
 362
","
ut till utlandet
"
"
SDO06
","
Bromma
","
1
","
2927
","
inomflyttning
"
"
SDO06
","
Bromma
","
2
","
3607
","
in fr övr Sthlm
"
"
SDO06
","
Bromma
","
3
","
1952
","
in fr övr länet
"
"
SDO06
","
Bromma
","
4
","
1319
","
in fr övr Sverige
"
"
SDO06
","
Bromma
","
5
","
 837
","
in fr utlandet
"
"
SDO06
","
Bromma
","
6
","
3527
","
ut till övr Sthlm
"
"
SDO06
","
Bromma
","
7
","
1946
","
ut till övr länet
"
"
SDO06
","
Bromma
","
8
","
1046
","
ut till övr Sverige
"
"
SDO06
","
Bromma
","
9
","
 472
","
ut till utlandet
"
"
SDO08
","
Kungsholmen
","
1
","
3038
","
inomflyttning
"
"
SDO08
","
Kungsholmen
","
2
","
5023
","
in fr övr Sthlm
"
"
SDO08
","
Kungsholmen
","
3
","
2259
","
in fr övr länet
"
"
SDO08
","
Kungsholmen
","
4
","
2056
","
in fr övr Sverige
"
"
SDO08
","
Kungsholmen
","
5
","
 813
","
in fr utlandet
"
"
SDO08
","
Kungsholmen
","
6
","
4617
","
ut till övr Sthlm
"
"
SDO08
","
Kungsholmen
","
7
","
2282
","
ut till övr länet
"
"
SDO08
","
Kungsholmen
","
8
","
1160
","
ut till övr Sverige
"
"
SDO08
","
Kungsholmen
","
9
","
 594
","
ut till utlandet
"
"
SDO09
","
Norrmalm
","
1
","
3173
","
inomflyttning
"
"
SDO09
","
Norrmalm
","
2
","
4539
","
in fr övr Sthlm
"
"
SDO09
","
Norrmalm
","
3
","
2281
","
in fr övr länet
"
"
SDO09
","
Norrmalm
","
4
","
1925
","
in fr övr Sverige
"
"
SDO09
","
Norrmalm
","
5
","
1169
","
in fr utlandet
"
"
SDO09
","
Norrmalm
","
6
","
4864
","
ut till övr Sthlm
"
"
SDO09
","
Norrmalm
","
7
","
2772
","
ut till övr länet
"
"
SDO09
","
Norrmalm
","
8
","
1188
","
ut till övr Sverige
"
