"
område
","
txt_område
","
ålder
","
antal
","
text_ålder
"

"
SDO01
","
Rinkeby-Kista
","
10
","
 1106
","
60-64 år
"
"
SDO01
","
Rinkeby-Kista
","
2
","
 1429
","
20-24 år
"
"
SDO01
","
Rinkeby-Kista
","
3
","
 2158
","
25-29 år
"
"
SDO01
","
Rinkeby-Kista
","
4
","
 1982
","
30-34 år
"
"
SDO01
","
Rinkeby-Kista
","
5
","
 1882
","
35-39 år
"
"
SDO01
","
Rinkeby-Kista
","
6
","
 1835
","
40-44 år
"
"
SDO01
","
Rinkeby-Kista
","
7
","
 1760
","
45-49 år
"
"
SDO01
","
Rinkeby-Kista
","
8
","
 1631
","
50-54 år
"
"
SDO01
","
Rinkeby-Kista
","
9
","
 1477
","
55-59 år
"
"
SDO03
","
Spånga-Tensta
","
10
","
  953
","
60-64 år
"
"
SDO03
","
Spånga-Tensta
","
2
","
 1161
","
20-24 år
"
"
SDO03
","
Spånga-Tensta
","
3
","
 1276
","
25-29 år
"
"
SDO03
","
Spånga-Tensta
","
4
","
 1445
","
30-34 år
"
"
SDO03
","
Spånga-Tensta
","
5
","
 1969
","
35-39 år
"
"
SDO03
","
Spånga-Tensta
","
6
","
 2124
","
40-44 år
"
"
SDO03
","
Spånga-Tensta
","
7
","
 1800
","
45-49 år
"
"
SDO03
","
Spånga-Tensta
","
8
","
 1565
","
50-54 år
"
"
SDO03
","
Spånga-Tensta
","
9
","
 1223
","
55-59 år
"
"
SDO04
","
Hässelby-Vällingby
","
10
","
 2055
","
60-64 år
"
"
SDO04
","
Hässelby-Vällingby
","
2
","
 2466
","
20-24 år
"
"
SDO04
","
Hässelby-Vällingby
","
3
","
 2499
","
25-29 år
"
"
SDO04
","
Hässelby-Vällingby
","
4
","
 2684
","
30-34 år
"
"
SDO04
","
Hässelby-Vällingby
","
5
","
 3748
","
35-39 år
"
"
SDO04
","
Hässelby-Vällingby
","
6
","
 3780
","
40-44 år
"
"
SDO04
","
Hässelby-Vällingby
","
7
","
 3693
","
45-49 år
"
"
SDO04
","
Hässelby-Vällingby
","
8
","
 3445
","
50-54 år
"
"
SDO04
","
Hässelby-Vällingby
","
9
","
 2567
","
55-59 år
"
"
SDO06
","
Bromma
","
10
","
 2229
","
60-64 år
"
"
SDO06
","
Bromma
","
2
","
 2232
","
20-24 år
"
"
SDO06
","
Bromma
","
3
","
 3519
","
25-29 år
"
"
SDO06
","
Bromma
","
4
","
 4049
","
30-34 år
"
"
SDO06
","
Bromma
","
5
","
 4730
","
35-39 år
"
"
SDO06
","
Bromma
","
6
","
 4484
","
40-44 år
"
"
SDO06
","
Bromma
","
7
","
 4113
","
45-49 år
"
"
SDO06
","
Bromma
","
8
","
 3392
","
50-54 år
"
"
SDO06
","
Bromma
","
9
","
 2885
","
55-59 år
"
"
SDO08
","
Kungsholmen
","
10
","
 2314
","
60-64 år
"
"
SDO08
","
Kungsholmen
","
2
","
 2033
","
20-24 år
"
"
SDO08
","
Kungsholmen
","
3
","
 6281
","
25-29 år
"
"
SDO08
","
Kungsholmen
","
4
","
 6905
","
30-34 år
"
"
SDO08
","
Kungsholmen
","
5
","
 5126
","
35-39 år
"
"
SDO08
","
Kungsholmen
","
6
","
 3557
","
40-44 år
"
"
SDO08
","
Kungsholmen
","
7
","
 2946
","
45-49 år
"
"
SDO08
","
Kungsholmen
","
8
","
 2740
","
50-54 år
"
"
SDO08
","
Kungsholmen
","
9
","
 2619
","
55-59 år
"
"
SDO09
","
Norrmalm
","
10
","
 2811
","
60-64 år
"
"
SDO09
","
Norrmalm
","
2
","
 2137
","
20-24 år
"
"
SDO09
","
Norrmalm
","
3
","
 5920
","
25-29 år
"
"
SDO09
","
Norrmalm
","
4
","
 7127
","
30-34 år
"
"
SDO09
","
Norrmalm
","
5
","
 5571
","
35-39 år
"
"
SDO09
","
Norrmalm
","
6
","
 3754
","
40-44 år
"
"
SDO09
","
Norrmalm
","
7
","
 3457
","
45-49 år
"
"
SDO09
","
Norrmalm
","
8
","
 3091
","
50-54 år
"
"
SDO09
","
Norrmalm
","
9
","
 3228
","
55-59 år
"
"
SDO10
","
Östermalm
","
10
","
 2929
","
60-64 år
"
"
SDO10
","
Östermalm
","
2
","
 2215
","
20-24 år
"
"
SDO10
","
Östermalm
","
3
","
 4840
","
25-29 år
"
"
SDO10
","
Östermalm
","
4
","
 4637
","
30-34 år
"
"
SDO10
","
Östermalm
","
5
","
 3914
","
35-39 år
"
"
SDO10
","
Östermalm
","
6
","
 3018
","
40-44 år
"
"
SDO10
","
Östermalm
","
7
","
 2824
","
45-49 år
"
"
SDO10
","
Östermalm
","
8
","
 2754
","
50-54 år
"
"
SDO10
","
Östermalm
","
9
","
 2846
","
55-59 år
"
"
SDO12
","
Södermalm
","
10
","
 5239
","
60-64 år
"
"
SDO12
","
Södermalm
","
2
","
 4115
","
20-24 år
"
"
SDO12
","
Södermalm
","
3
","
 8809
","
25-29 år
"
"
SDO12
","
Södermalm
","
4
","
10792
","
30-34 år
"
"
SDO12
","
Södermalm
","
5
","
 9449
","
35-39 år
"
"
SDO12
","
Södermalm
","
6
","
 7349
","
40-44 år
"
"
SDO12
","
Södermalm
","
7
","
 7130
","
45-49 år
"
"
SDO12
","
Södermalm
","
8
","
 6393
","
50-54 år
"
"
SDO12
","
Södermalm
","
9
","
 6268
","
55-59 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
10
","
 2398
","
60-64 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
2
","
 3863
","
20-24 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
3
","
 6257
","
25-29 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
4
","
 6610
","
30-34 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
5
","
 6141
","
35-39 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
6
","
 5293
","
40-44 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
7
","
 4815
","
45-49 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
8
","
 4139
","
50-54 år
"
"
SDO14
","
Enskede-Årsta-Vantör
","
9
","
 3427
","
55-59 år
"
"
SDO15
","
Skarpnäck
","
10
","
 1171
","
60-64 år
"
"
SDO15
","
Skarpnäck
","
2
","
 1660
","
20-24 år
"
"
SDO15
","
Skarpnäck
","
3
","
 2763
","
25-29 år
"
"
SDO15
","
Skarpnäck
","
4
","
 3092
","
30-34 år
"
"
SDO15
","
Skarpnäck
","
5
","
 2946
","
35-39 år
"
"
SDO15
","
Skarpnäck
","
6
","
 2700
","
40-44 år
"
"
SDO15
","
Skarpnäck
","
7
","
 2610
","
45-49 år
"
"
SDO15
","
Skarpnäck
","
8
","
 2342
","
50-54 år
"
"
SDO15
","
Skarpnäck
","
9
","
 1801
","
55-59 år
"
"
SDO18
","
Farsta
","
10
","
 1493
","
60-64 år
"
"
SDO18
","
Farsta
","
2
","
 1812
","
20-24 år
"
"
SDO18
","
Farsta
","
3
","
 2553
","
25-29 år
"
"
SDO18
","
Farsta
","
4
","
 2903
","
30-34 år
"
"
SDO18
","
Farsta
","
5
","
 2980
","
35-39 år
"
"
SDO18
","
Farsta
","
6
","
 2825
","
40-44 år
"
"
SDO18
","
Farsta
","
7
","
 2665
","
45-49 år
"
"
SDO18
","
Farsta
","
8
","
 2390
","
50-54 år
"
"
SDO18
","
Farsta
","
9
","
 1970
","
55-59 år
"
"
SDO21
","
Älvsjö
","
10
","
  861
","
60-64 år
"
"
SDO21
","
Älvsjö
","
2
","
  704
","
20-24 år
"
"
SDO21
","
Älvsjö
","
3
","
  938
","
25-29 år
"
"
SDO21
","
Älvsjö
","
4
","
 1327
","
30-34 år
"
"
SDO21
","
Älvsjö
","
5
","
 1895
","
35-39 år
"
"
SDO21
","
Älvsjö
","
6
","
 1732
","
40-44 år
"
"
SDO21
","
Älvsjö
","
7
","
 1650
","
45-49 år
"
"
SDO21
","
Älvsjö
","
8
","
 1365
","
50-54 år
"
"
SDO21
","
Älvsjö
","
9
","
 1084
","
55-59 år
"
"
SDO22
","
Hägersten-Liljeholmen
","
10
","
 2248
","
60-64 år
"
"
SDO22
","
Hägersten-Liljeholmen
","
2
","
 2793
","
20-24 år
"
"
SDO22
","
Hägersten-Liljeholmen
","
3
","
 6011
","
25-29 år
"
"
SDO22
","
Hägersten-Liljeholmen
","
4
","
 6781
","
30-34 år
"
